document_id,review,cleaned_review,sentiment
0,"If you're a Millennial like me, you probably experienced the phenomena known as 'Titanic-mania' during your childhood, where everyone was obsessed with this movie. It was in theatres for almost a year, and every girl between 8-20 was obsessed with Leonardo DiCaprio. Titanic was everywhere in the late 1990s, and because of its popularity and reputation as a gushy romance movie popular with teenage girls, it attracted a lot of hate. Despite winning numerous Oscars, Titanic, for the longest time, had a negative reputation, especially among men.In hindsight, if you had your image of Titanic shaped by the negative media landscape surrounding it in the late 90s to the 2000s, I highly suggest you give it another go. It really is a wonderful film, and it's enjoyable and fun even if you're a guy. The special effects are second to none, the acting is great and James Horner's soundtrack is absolutely majestic. Even the love story itself, while a bit gushy in parts, is actually quite sweet and endearing. Both Rose and Jack are full realized, strong characters who you care about.My advice, especially to 20-30 something year old men who were told all their life that 'Titanic sucks', is to give it a chance. You're sleeping on not only a great drama, but a great action movie as well.",your millenni like probabl experienc phenomenon known titanicmania childhood everyon ob movi theatr almost year everi girl ob leonardo dicaprio titan everywher late popular reput gushi romanc movi popular teenag girl attract lot hate despit win numer oscar titan longest time neg reput especi among menin hindsight imag titan shape neg medium landscap surround late highli suggest give anoth go realli wonder film enjoy fun even your guy special effect second none act great jame horner soundtrack absolut majest even love stori bit gushi part actual quit sweet endear rose jack full realiz strong charact care aboutmi advic especi someth year old men told life titan suck give chanc your sleep great drama great action movi well,positive
1,"I've never watched Titanic until now. It caught my interest when I heard the story about those 5 people who lost their lives on an expedition to the Titanic.I've heard about this movie for years and finally decided to watch it. It's honestly one of the best movies I've seen. I had so many emotions watching it. Laughter, tears, anger, terror etc.The characters were phenomenal. To think of all of those people who really went through pure terror. I couldn't imagine.Needless to say, if you have not seen this movie, please go watch it. I had to add it to my list of favorite movies.Job well done to everyone involved in making this masterpiece.",ive never watch titan caught interest heard stori peopl lost live expedit titanic heard movi year final decid watch honestli one best movi ive seen mani emot watch laughter tear anger terror etcth charact phenomen think peopl realli went pure terror couldnt imagineneedless say seen movi plea go watch add list favorit moviesjob well done everyon involv make masterpiec,positive
2,"I avoided watching this film for the longest time. Long before it was even released I had dismissed it as an over-hyped, over-blown, overly romanticized piece of Hollywood schmaltz, and I wanted nothing to do with it. I never watched it in the theatre. I shook my head in disbelief at the 11 Academy Awards - even though I had never seen it. Then I was asked to be a judge at a high school public speaking contest. One of the girls spoke about this movie. ""It was so great,"" she said. ""You really felt like you were on the ship."" ""Nonsense,"" I thought. I shared my feelings with my fellow judges. One looked at me and said, ""you might be right, but if she liked the movie that much maybe she'll want to learn more about the real Titanic. The movie must have done something right to get her so interested."" ""Well, maybe,"" thought I. Then it finally appeared on Pay TV. ""OK,"" I thought, ""I'll give it a look see."" I didn't want to like it - and I didn't. I loved it! What a great movie.Where to start? First - the directing. My high school public speaking contestant was right. James Cameron does a superb job of creating an almost ""you are there"" type of atmosphere. The gaiety of life aboard the most elegant ship in the world. The nonchalance as news of the iceberg first spreads; then the rising sense of panic. You don't just watch it; you really do feel it. Then - the performances. The lead performances from Kate Winslet (as Rose) and Leonardo DiCaprio (as Jack) are excellent - Winslet's being the superior, I thought, but both were good. They had their rich girl/poor boy characters down to a perfect ""t"" I thought. In my opinion, though, stealing the show was Frances Fisher as Rose's mother. She was perfect as the snobby aristocrat, and you could feel the fear and loathing she felt every time she looked at Jack. Then - the details. I'm no expert on the sinking of the Titanic, but I have a reasonable general knowledge, and this film does a super job of recreating the historical details accurately and then weaving them seamlessly around the fictional romance. Very impressive, indeed. Then - the song. Who can watch this movie and not be taken with Celine Dion's performance of ""My Heart Goes On.""Problems. Well, the romance was perhaps too contrived, in the sense that I just don't accept that Jack could have moved so effortlessly from steerage to first class. (I know he was invited the first time; but he seems to keep getting into first class without being stopped until he's been there for a while.) The realities of the separation of the social classes were much more realistically portrayed, I thought, when the steerage passengers were going to be left locked down there after the ship hit the iceberg while the first class folks got to enjoy half empty lifeboats.A minor quibble, though. This is truly an excellent movie. My only regret is not seeing it in the theatre, where I think it would have been so much more impressive.9/10.",avoid watch film longest time long even releas dismiss overhyp overblown overli romantic piec hollywood schmaltz want noth never watch theatr shook head disbelief academi award even though never seen ask judg high school public speak contest one girl spoke movi great said realli felt like ship nonsens thought share feel fellow judg one look said might right like movi much mayb shell want learn real titan movi must done someth right get interest well mayb thought final appear pay tv ok thought ill give look see didnt want like didnt love great moviewher start first direct high school public speak contest right jame cameron superb job creat almost type atmospher gaieti life aboard eleg ship world nonchal news iceberg first spread rise sen panic dont watch realli feel perform lead perform kate winslet rose leonardo dicaprio jack excel winslet superior thought good rich girlpoor boy charact perfect thought opinion though steal show franc fisher rose mother perfect snobbi aristocrat could feel fear loath felt everi time look jack detail im expert sink titan reason gener knowledg film super job recreat histor detail accur weav seamlessli around fiction romanc impress inde song watch movi taken celin dion perform heart goe onproblem well romanc perhap contriv sen dont accept jack could move effortlessli steerag first class know invit first time seem keep get first class without stop he realiti separ social class much realist portray thought steerag passeng go left lock ship hit iceberg first class folk got enjoy half empti lifeboatsa minor quibbl though truli excel movi regret see theatr think would much impress,positive
3,"You can watch this movie in 1997, you can watch it again in 2004 or 2009 or you can watch it in 2015 or 2020, and this movie will get you EVERY TIME. Titanic has made itself FOREVER a timeless classic! I just saw it today (2015) and I was crying my eyeballs out JUST like the first time I saw it back in 1998. This is a movie that is SO touching, SO precise in the making of the boat, the acting and the storyline is BRILLIANT! And the preciseness of the ship makes it even more outstanding! Kate Winslet and Leonardo Dicaprio definitely created a timeless classic that can be watched time and time again and will never get old. This movie will always continue to be a beautiful, painful & tragic movie. 10/10 stars for this masterpiece!",watch movi watch watch movi get everi time titan made forev timeless classic saw today cri eyebal like first time saw back movi touch precis make boat act storylin brilliant precis ship make even outstand kate winslet leonardo dicaprio definit creat timeless classic watch time time never get old movi alway continu beauti pain tragic movi star masterpiec,positive
4,"I have watched Titanic how many times I don't know. Everytime I watch it, I still cry, laugh, smile, and feel. The story flows with tension throughout the movie; two actors' acting and chemistry need applaud; Sinking ship is realistically filmed; 'My Heart Will Go On' is perfect fit for Jack and Roses' love story and is timeless as well. All the movie's factors are fully qualified. What more can I say? It is the masterpiece.",watch titan mani time dont know everytim watch still cri laugh smile feel stori flow tension throughout movi two actor act chemistri need applaud sink ship realist film heart go perfect fit jack rose love stori timeless well movi factor fulli qualifi say masterpiec,positive
5,"Titanic is one of my all time favourite films. I'm a 24 year old guy who has probably not cried in front of anyone since I was a kid, but this movie plays on my emotions more than almost any other. We all know the ship will sink (does that even qualify as a spoiler?) but the build-up to this event - the smugness and over- confidence, assurances of it being ""unsinkable"" - tease the audience, almost to the point where you're like 'is it really going to sink?'I thought the performances of everyone were magnificent: I cared about the characters and their lives on and beyond the ship. Taking the time to introduce everyone and weave their stories together was masterful, even beyond the main characters, like Fabrizio and Murdoch the First Officer and countless more. It was heartbreaking towards the end when you see the panic gradually set in, and it slowly descends into total chaos. You remember Jack telling Rose all the places he's going to take her to and you imagine their love- filled lives together. The Irish mother telling her children the fairytale, resigned to their fate. The violinists trying to maintain a spirit of composure amidst the carnage. And the music! Wow. I cried for all of this. And especially right at the end when you see the photos of Rose's life, knowing she's fulfilled her promise and survived, living a full life, probably never having met anyone she loved as much as Jack all those years ago.Visually pleasing in every way, dramatic, musically astounding, great acting and above all a fantastic story make this an undeniably iconic, enduring film. A romantic-drama unlike any other. It deserves higher than 7.7.",titan one time favourit film im year old guy probabl cri front anyon sinc kid movi play emot almost know ship sink even qualifi spoiler buildup event smug confid assur unsink tea audienc almost point your like realli go sinki thought perform everyon magnific care charact live beyond ship take time introduc everyon weav stori togeth master even beyond main charact like fabrizio murdoch first offic countless heartbreak toward end see panic gradual set slowli descend total chao rememb jack tell rose place he go take imagin love fill live togeth irish mother tell child fairytal resign fate violinist tri maintain spirit composur amidst carnag music wow cri especi right end see photo rose life know she fulfil promis surviv live full life probabl never met anyon love much jack year agovisu plea everi way dramat music astound great act fantast stori make undeni icon endur film romanticdrama unlik deserv higher,positive
6,"Good Lord. This movie right here, it's a masterpiece. I am not exaggerating when I say this. Tonight was the first time I watched this. I watched some parts of it earlier, but I thought it would probably be boring, and that I had better things to do. Tonight I watched the whole thing with my grandmother. I was completely wrong on that. This was the best movie that I've ever seen, and probably ever will see in my entire life. Me and my grandmother were both in tears by the end of it. There were two scenes which made me cry: the part where the orchestra played ""Nearer, My God, to Thee"" and the end when all those perished on the Titanic applaud at the kiss of Rose and Jack. This movie was absolutely amazing and I would watch it over and over again.",good lord movi right masterpiec exagger say tonight first time watch watch part earlier thought would probabl bore better thing tonight watch whole thing grandmoth complet wrong best movi ive ever seen probabl ever see entir life grandmoth tear end two scene made cri part orchestra play nearer god thee end perish titan applaud kiss rose jack movi absolut amaz would watch,positive
7,Very beautiful and cinematic movie with lots of classic scenes.Also extremely sad at times.Absolute 90's classic.,beauti cinemat movi lot classic scenesalso extrem sad timesabsolut classic,neutral
8,"Since I was a teenager in 1997, I can say with some degree of confidence that Titanic was made for teenage girls. Almost all of my female friends of the time adored this movie and paid to see it multiple times in theaters, so I can see why it saw so much box office success. Also, there's no question that when the boat sinks, it's terrifyingly spectacular. However, the real downfall of this movie is the terribly corny dialogue. The script sounds like it was written by adolescents. Plus, the love story is overly melodramatic. I can see why Titanic made a splash, but I only really enjoy the last half.",sinc teenag say degre confid titan made teenag girl almost femal friend time ador movi paid see multipl time theater see saw much box offic success also there question boat sink terrifyingli spectacular howev real downfal movi terribl corni dialogu script sound like written adolesc plu love stori overli melodramat see titan made splash realli enjoy last half,positive
9,"The stage curtains open ...Not since the advent of the 1995 film, ""Braveheart"", have I ever been as enthralled or emotionally invested into a movie as I was with ""Titanic"". I knew going in, just from the trailer and word-of-mouth, it was going to be good, but I had no idea the ride I was in for when the lights dimmed in the theater that night. I have never understood (and still don't understand) the negative backlash that I've read/heard when it come to this epic film. Because, it is just that - epic in every way, shape or form.We follow along as a young wayfarer named Jack (Leonardo DiCaprio) wins a ticket to board the Titanic in a game of chance. During its fateful voyage, he meets and falls for an upper-class girl named Rose (Kate Winslet). Under the thumb of her demanding fiance (Billy Zane) and her narrow-minded mother, Rose is introduced to a different side to life by Jack, and he helps her to find her own individuality and independence, alienating her from a life that she already despises. She must now decide if she'll choose to stay where she is, or leave and have a life with Jack - a decision that is further compounded when the mighty ship strikes an iceberg leading to the eye popping conclusion.What makes this film work is the love story. A lot of the negative reviews I've read complain because there is a love story. But, without it, this movie doesn't work. I am not interested in watching a biography about the Titanic, I want a good story - and this movie certainly delivers that. I was completely invested in Jack and Rose, and when the ship began to sink, I was with them both every step of the way.I highly recommend this movie at 10 stars out of 10. The event of the ship sinking alone was awe inspiring. You are right there in the scene. I could not take my eyes off the screen. The direction is tight, the special effects phenomenal, and the acting completely believable. DiCaprio and Winslet had perfect chemistry. I was affected and moved by ""Titanic"". And even knowing the outcome, I will happily get on board again and again.",stage curtain open sinc advent film braveheart ever enthral emot invest movi titan knew go trailer wordofmouth go good idea ride light dim theater night never understood still dont understand neg backlash ive readheard come epic film epic everi way shape formw follow along young wayfar name jack leonardo dicaprio win ticket board titan game chanc fate voyag meet fall upperclass girl name rose kate winslet thumb demand fianc billi zane narrowmind mother rose introduc differ side life jack help find individu independ alien life alreadi despis must decid shell choos stay leav life jack decis compound mighti ship strike iceberg lead eye pop conclusionwhat make film work love stori lot neg review ive read complain love stori without movi doesnt work interest watch biographi titan want good stori movi certainli deliv complet invest jack rose ship began sink everi step wayi highli recommend movi star event ship sink alon awe inspir right scene could take eye screen direct tight special effect phenomen act complet believ dicaprio winslet perfect chemistri affect move titan even know outcom happili get board,positive
